      #N                  I1                      Error                      I2                      Error                      I3                      Error                      I4                      Error                      I5                      Error
     1000          1.556603205708            0.014249999071            6.187644978812            0.209577140127            0.423996509147            0.010792538656            1.443826636458            0.027052882551            6.224604345411            0.067252811195
     2000          1.576613310287            0.009742855650            6.426608411122            0.149354193518            0.433387102745            0.007790542181            1.420287909031            0.019527993307            6.242441031547            0.047411253334
     3000          1.571688553345            0.008013498739            6.468362105761            0.122342606364            0.429599840825            0.006339392349            1.429781166841            0.015890500106            6.241260752947            0.038627509962
     4000          1.569500866900            0.006967419354            6.449202875983            0.106051924588            0.431782609430            0.005517012934            1.424309777339            0.013829100612            6.232728283199            0.033467588826
     5000          1.571765056559            0.006241582261            6.466597084495            0.095154717291            0.431204540553            0.004916655693            1.425758781132            0.012324228178            6.276737461582            0.029896069745
     6000          1.575361560447            0.005715779996            6.388115330094            0.086865677667            0.432496563076            0.004500144265            1.422520160945            0.011280188855            6.255405342043            0.027483085295
     7000          1.573395250319            0.005295252965            6.387847950285            0.080323606579            0.430489091012            0.004153165974            1.427552147179            0.010410443259            6.232420929090            0.025629845571
     8000          1.573077209860            0.004947718132            6.370433537716            0.074911240676            0.432601885947            0.003889513428            1.422256155657            0.009749564334            6.233630951926            0.023977782071
     9000          1.574245693343            0.004646150810            6.365759213367            0.070638139472            0.434186330073            0.003659568329            1.418284543211            0.009173177447            6.236268692793            0.022578056945
    10000          1.573786970342            0.004415526621            6.315193451570            0.066855543578            0.432666860065            0.003463660009            1.422093289695            0.008682108111            6.238945188230            0.021379705084
    11000          1.572895268297            0.004220637021            6.310225121718            0.063735712693            0.432625916444            0.003298605956            1.422195920133            0.008268378957            6.226885632287            0.020419305089
    12000          1.572719959202            0.004031808255            6.331095396641            0.061037665618            0.433687547346            0.003155296225            1.419534806099            0.007909154733            6.236409336869            0.019486417227
    13000          1.572720214155            0.003882295414            6.310047608663            0.058609422750            0.435271536790            0.003035975444            1.415564333371            0.007610061890            6.236720316857            0.018787998514
    14000          1.573421375916            0.003740183010            6.312993204018            0.056520761048            0.434386507475            0.002927413268            1.417782772875            0.007337936869            6.231891378595            0.018135145016
    15000          1.573734748887            0.003606625058            6.340854006392            0.054701773556            0.434251869919            0.002829463944            1.418120259180            0.007092414323            6.220990536047            0.017557168187
    16000          1.573831166014            0.003487340406            6.356732499932            0.052999509271            0.434211811894            0.002738891803            1.418220669758            0.006865383635            6.227788505910            0.016996610789
    17000          1.574125045575            0.003382500261            6.331076699865            0.051374166552            0.434328662295            0.002661262138            1.417927769240            0.006670794921            6.227399980002            0.016488816967
    18000          1.573748578218            0.003286730997            6.330110770329            0.049957185460            0.433888111701            0.002587167373            1.419032065814            0.006485066888            6.228027743614            0.016011274963
    19000          1.573967964893            0.003201013938            6.322011599879            0.048545867848            0.434952680606            0.002518794763            1.416363587297            0.006313682171            6.220999847768            0.015598809580
    20000          1.573998822127            0.003122547555            6.303425683021            0.047317215668            0.434883992324            0.002452813790            1.416535763288            0.006148292398            6.220912518352            0.015230179170
    21000          1.574794194904            0.003044089594            6.304824695340            0.046174117772            0.435421794927            0.002394279508            1.415187692076            0.006001568711            6.217576849762            0.014838197971
    22000          1.573894071232            0.002979505845            6.313788393551            0.045155764597            0.435459212889            0.002338846489            1.415093899154            0.005862618739            6.222037022628            0.014480903570
    23000          1.573500220936            0.002917907399            6.297895517203            0.044107273705            0.436209891863            0.002287425537            1.413212226015            0.005733725527            6.219787200202            0.014172187425
    24000          1.573313944052            0.002856497690            6.297158475662            0.043149801436            0.435982508737            0.002239028075            1.413782190987            0.005612411080            6.213606148739            0.013892954790
    25000          1.573463277194            0.002799571897            6.298119120561            0.042277336626            0.435243393705            0.002194603094            1.415634877625            0.005501054168            6.210674382366            0.013626942732
    26000          1.574131255668            0.002742857141            6.299348316059            0.041475173768            0.435037880600            0.002151096866            1.416150022583            0.005392000226            6.209380646821            0.013367675044
    27000          1.573545422138            0.002692208711            6.304424180126            0.040685411103            0.434666582055            0.002111944967            1.417080730015            0.005293860968            6.207831784857            0.013126413082
    28000          1.573275570830            0.002646014964            6.298445312731            0.039917853226            0.434933601029            0.002072795035            1.416411412705            0.005195726643            6.209085060678            0.012891270262
    29000          1.573729065655            0.002599676045            6.295063783170            0.039208939097            0.434823499347            0.002036874446            1.416687396694            0.005105687079            6.212029856080            0.012646405293
    30000          1.573418982425            0.002556106923            6.298239474887            0.038542690331            0.434491794133            0.002000418471            1.417518858362            0.005014305500            6.215812749986            0.012420465045
    31000          1.573609225567            0.002514111507            6.290189289664            0.037888211092            0.434691588545            0.001968035198            1.417018048039            0.004933132674            6.220399143431            0.012204248610
    32000          1.573907775285            0.002474914764            6.289649959854            0.037297998992            0.435226563327            0.001937398015            1.415677065125            0.004856336645            6.221839310989            0.012021228370
    33000          1.574192594176            0.002434775437            6.297927316939            0.036747825922            0.434771065889            0.001908140922            1.416818827881            0.004782999987            6.218027162161            0.011843740707
    34000          1.574432720916            0.002399728872            6.286492880219            0.036166649909            0.434888661330            0.001879719619            1.416524059826            0.004711758344            6.216643090986            0.011670610779
    35000          1.575364602183            0.002362902949            6.289599260413            0.035646581800            0.435254402859            0.001853209284            1.415607281766            0.004645306789            6.214139551755            0.011508142924
