      #N                  I1                      Error                      I2                      Error                      I3                      Error                      I4                      Error                      I5                      Error
     1000          1.566182017109            0.014104314044            6.375368486258            0.207657391965            0.423996509147            0.010792538656            1.443826636458            0.027052882551            6.119907907519            0.069794490884
     2000          1.560064139511            0.010177852428            6.305838507561            0.147530425960            0.433387102745            0.007790542181            1.420287909031            0.019527993307            6.079193914185            0.049820297372
     3000          1.565132020381            0.008266377764            6.310435055200            0.121213429668            0.429599840825            0.006339392349            1.429781166841            0.015890500106            6.130448752191            0.040300531653
     4000          1.567197835394            0.007147847744            6.238124094473            0.104731224005            0.431782609430            0.005517012934            1.424309777339            0.013829100612            6.171074606308            0.034447539564
     5000          1.568139401201            0.006368729251            6.292528212354            0.094079144033            0.431204540553            0.004916655693            1.425758781132            0.012324228178            6.159529581214            0.030938397717
     6000          1.569381574497            0.005793923890            6.283534496401            0.085734825389            0.432496563076            0.004500144265            1.422520160945            0.011280188855            6.172693915280            0.028243795645
     7000          1.566998358949            0.005383407219            6.249468271132            0.079206041633            0.430489091012            0.004153165974            1.427552147179            0.010410443259            6.178969662289            0.026075703945
     8000          1.566757093952            0.005035627289            6.253950155275            0.074167203329            0.432601885947            0.003889513428            1.422256155657            0.009749564334            6.180614493032            0.024297799263
     9000          1.567193722472            0.004731718817            6.261562198203            0.069946730455            0.434186330073            0.003659568329            1.418284543211            0.009173177447            6.189575661129            0.022810657456
    10000          1.567412547811            0.004488854639            6.220276770169            0.066248402604            0.432666860065            0.003463660009            1.422093289695            0.008682108111            6.184402549612            0.021687177112
    11000          1.566447459832            0.004286225371            6.266620246480            0.063353948125            0.432625916444            0.003298605956            1.422195920133            0.008268378957            6.188212204323            0.020712803322
    12000          1.565407455185            0.004110901442            6.241240886454            0.060563122970            0.433687547346            0.003155296225            1.419534806099            0.007909154733            6.195226314116            0.019806368082
    13000          1.565747538797            0.003946829988            6.256757496151            0.058208052349            0.435271536790            0.003035975444            1.415564333371            0.007610061890            6.198057975085            0.019009876351
    14000          1.566141610571            0.003794617626            6.280395838160            0.056159983369            0.434386507475            0.002927413268            1.417782772875            0.007337936869            6.202199938328            0.018321375885
    15000          1.567322028915            0.003660648053            6.285046862512            0.054255232871            0.434251869919            0.002829463944            1.418120259180            0.007092414323            6.200454853477            0.017695595389
    16000          1.566877172092            0.003541216289            6.277179504549            0.052551566705            0.434211811894            0.002738891803            1.418220669758            0.006865383635            6.195396141254            0.017113674158
    17000          1.566187359487            0.003440908781            6.263427821360            0.050971477774            0.434328662295            0.002661262138            1.417927769240            0.006670794921            6.201520027181            0.016581650362
    18000          1.566410769766            0.003340292781            6.269414770652            0.049524125924            0.433888111701            0.002587167373            1.419032065814            0.006485066888            6.202430150810            0.016110058247
    19000          1.567517834837            0.003245871769            6.260230107098            0.048146502627            0.434952680606            0.002518794763            1.416363587297            0.006313682171            6.199841491483            0.015701497637
    20000          1.569786874297            0.003155443350            6.254929559079            0.046910356041            0.434883992324            0.002452813790            1.416535763288            0.006148292398            6.197647545932            0.015328519389
    21000          1.569458703407            0.003078998081            6.273293050275            0.045842618899            0.435421794927            0.002394279508            1.415187692076            0.006001568711            6.198702034238            0.014949550630
    22000          1.570753498272            0.003004841028            6.268439666035            0.044781430704            0.435459212889            0.002338846489            1.415093899154            0.005862618739            6.200052848003            0.014616059674
    23000          1.570200337081            0.002937307832            6.283665332732            0.043814726582            0.436209891863            0.002287425537            1.413212226015            0.005733725527            6.202449937596            0.014292244923
    24000          1.569622938288            0.002879603263            6.285928669691            0.042907778580            0.435982508737            0.002239028075            1.413782190987            0.005612411080            6.201497555191            0.013973127026
    25000          1.568748652008            0.002824466234            6.278461355202            0.042016642795            0.435243393705            0.002194603094            1.415634877625            0.005501054168            6.206406513356            0.013681985023
    26000          1.569016464429            0.002768160417            6.287370575846            0.041233889615            0.435037880600            0.002151096866            1.416150022583            0.005392000226            6.207922457345            0.013423125415
    27000          1.568948998757            0.002716368112            6.284061864518            0.040458277413            0.434666582055            0.002111944967            1.417080730015            0.005293860968            6.212477266880            0.013164188358
    28000          1.569699631577            0.002665637482            6.281174650972            0.039729040199            0.434933601029            0.002072795035            1.416411412705            0.005195726643            6.215434945028            0.012927418572
    29000          1.568750977998            0.002621241240            6.294074707817            0.039074392567            0.434823499347            0.002036874446            1.416687396694            0.005105687079            6.216634778191            0.012700277681
    30000          1.568652060318            0.002578648086            6.294845755750            0.038420685025            0.434491794133            0.002000418471            1.417518858362            0.005014305500            6.217203062971            0.012486499162
    31000          1.568566063465            0.002536394799            6.295066700288            0.037805830197            0.434691588545            0.001968035198            1.417018048039            0.004933132674            6.217975498742            0.012282681464
    32000          1.568270216217            0.002499076073            6.295881023896            0.037214686385            0.435226563327            0.001937398015            1.415677065125            0.004856336645            6.217391113135            0.012088810148
    33000          1.569069855281            0.002459750130            6.282006650472            0.036614305885            0.434771065889            0.001908140922            1.416818827881            0.004782999987            6.213639825352            0.011916213577
    34000          1.569247754272            0.002423049438            6.281915034839            0.036087822404            0.434888661330            0.001879719619            1.416524059826            0.004711758344            6.214342551071            0.011728014391
    35000          1.568548155956            0.002390461641            6.289208930231            0.035600611751            0.435254402859            0.001853209284            1.415607281766            0.004645306789            6.216587296027            0.011544428968
    36000          1.568766323591            0.002355529335            6.290292795283            0.035106836180            0.435372316301            0.001827206632            1.415311716600            0.004580127807            6.219266128502            0.011376509126
    37000          1.568646449798            0.002324635364            6.287504575193            0.034623238947            0.434824732142            0.001801738898            1.416684306535            0.004516289665            6.218929018778            0.011216850204
    38000          1.568560095315            0.002295357253            6.275526734728            0.034144103277            0.435090740904            0.001778733917            1.416017521452            0.004458624729            6.221286563137            0.011058408192
    39000          1.568867498478            0.002264781416            6.274573255267            0.033711097274            0.434687950351            0.001755636290            1.417027167639            0.004400727565            6.222110952653            0.010913547237
    40000          1.568796592837            0.002237874990            6.266971006821            0.033274887788            0.434520989609            0.001733193577            1.417445676156            0.004344472026            6.221517465823            0.010781669031
    41000          1.568746181794            0.002211981928            6.272059588110            0.032873300603            0.434343067196            0.001712194540            1.417891661508            0.004291835246            6.221337372522            0.010651504544
    42000          1.568662184339            0.002186306140            6.270880701282            0.032486288454            0.434299288165            0.001691389414            1.418001399265            0.004239684528            6.218687896089            0.010533920393
    43000          1.568815671764            0.002160838627            6.271164315178            0.032109557883            0.434599267701            0.001672421867            1.417249462077            0.004192139939            6.221884484117            0.010399033088
    44000          1.568640396431            0.002136540007            6.272245335690            0.031740951977            0.434933317189            0.001653614579            1.416412124187            0.004144997058            6.220661353107            0.010283103123
    45000          1.568116178964            0.002114833890            6.260180718751            0.031360291429            0.435032216443            0.001635706237            1.416164220518            0.004100107503            6.223418880268            0.010159331967
    46000          1.568196559919            0.002090769034            6.257336392549            0.031009687866            0.434951512127            0.001618397958            1.416366516240            0.004056722081            6.225029654187            0.010048478260
    47000          1.568108927197            0.002067500753            6.263125169465            0.030687318409            0.434791451182            0.001600753063            1.416767729532            0.004012492889            6.222808055863            0.009943294815
    48000          1.568630753982            0.002045680797            6.259426858018            0.030363201191            0.434703018301            0.001584386666            1.416989397890            0.003971468414            6.222153956713            0.009844930734
    49000          1.568839573848            0.002023276971            6.256545537221            0.030043822302            0.434360288777            0.001568416801            1.417848493406            0.003931437899            6.222572958429            0.009736263354
    50000          1.568828561629            0.002002638012            6.260978229469            0.029750754188            0.434186287943            0.001552347543            1.418284648816            0.003891158242            6.221913185243            0.009640823732
    51000          1.569574689674            0.001980524107            6.262935674055            0.029456294168            0.434135793262            0.001537286898            1.418411220211            0.003853406804            6.224164600040            0.009541512337
    52000          1.569253199100            0.001962248798            6.253756787390            0.029150860608            0.433642707292            0.001521693123            1.419647203445            0.003814319007            6.224165615288            0.009449710410
    53000          1.569418152193            0.001942988214            6.260609737650            0.028897689091            0.433425321381            0.001507069834            1.420192109116            0.003777663859            6.223099968332            0.009363277701
    54000          1.569711624836            0.001924098973            6.256744637994            0.028619209950            0.433478708375            0.001493396515            1.420058287769            0.003743389931            6.223852989957            0.009274612817
    55000          1.569070418884            0.001907005895            6.259785365326            0.028360594837            0.433678656622            0.001479780977            1.419557091839            0.003709260837            6.226706343794            0.009185085816
    56000          1.569570247384            0.001888546752            6.260319342485            0.028105329806            0.433663448331            0.001466919906            1.419595213371            0.003677022914            6.226635682651            0.009100834131
    57000          1.569474735909            0.001871892420            6.261070187709            0.027858419660            0.433744040001            0.001453830434            1.419393200012            0.003644212473            6.226942372641            0.009024774305
    58000          1.570252822623            0.001853141906            6.262201328930            0.027612029721            0.434071684772            0.001440867642            1.418571916366            0.003611719572            6.225586985167            0.008950274240
    59000          1.570581890321            0.001836618929            6.264039326414            0.027375242514            0.433777847522            0.001428230762            1.419308457125            0.003580043611            6.226767771449            0.008872338899
    60000          1.571095855544            0.001819576864            6.262916446696            0.027143207285            0.433873635647            0.001416407473            1.419068351900            0.003550407020            6.228273941912            0.008794129907
    61000          1.571033723255            0.001805499176            6.261654145319            0.026930549360            0.434059340136            0.001405100647            1.418602859778            0.003522065009            6.228784262696            0.008719216780
    62000          1.571081978357            0.001790614902            6.264658216642            0.026717631039            0.433943415483            0.001394218523            1.418893439790            0.003494787570            6.230256336285            0.008651243974
    63000          1.570953277250            0.001777045303            6.263986509818            0.026502409344            0.434048264796            0.001382924531            1.418630621538            0.003466477730            6.230541794116            0.008580684098
