    #N                E
     1      -48.8424912352227523
     2      -48.4746412654784748
     3      -48.2650501261531346
     4      -48.1970118173974740
     5      -48.1864022267492800
     6      -48.1859446919270695
     7      -48.1859419492705143


     1      -43.0523397792487259
     2      -42.8348647413695289
     3      -42.7816108712645189
     4      -42.7782383773152119
     5      -42.7781931135611941
     6      -42.7781930768801075


     1      -34.4761105036849287
     2      -33.6355005486480678
     3      -33.8699819367038302
     4      -33.8991080341261153
     5      -33.8976306139310779
     6      -33.8976384837918943


