      #N                  I1                      Error                      I2                      Error
     1000        202.603869974747           11.131382827449            0.009556403626            0.000227905697
     2000        199.727974861438            7.682609683384            0.009575502128            0.000157759682
     3000        199.695811161911            6.319974337391            0.009693419374            0.000129150261
     4000        203.541977298729            5.578211813562            0.009746539134            0.000111620744
     5000        203.994893052917            4.956769356071            0.009850548446            0.000100427085
     6000        207.825848418263            4.569790813820            0.009877369869            0.000091720130
     7000        209.028432985396            4.252580437095            0.009857916345            0.000084998132
     8000        209.318426095932            3.996125873289            0.009905021821            0.000079498743
     9000        209.078269125357            3.765604237982            0.009906149162            0.000074853871
    10000        209.100115311152            3.569663768978            0.009888944484            0.000070971169
    11000        208.116481902674            3.396780598810            0.009880087689            0.000067609159
    12000        207.684050869708            3.247600924484            0.009908994928            0.000064761338
    13000        208.311004312973            3.126045988199            0.009926518114            0.000062231901
    14000        208.910263043707            3.017418169023            0.009943577071            0.000059930314
    15000        209.618614955306            2.924092768719            0.009948166082            0.000057974286
    16000        209.019506812743            2.827840749157            0.009941977567            0.000056114900
    17000        208.352584246776            2.737990903802            0.009943713561            0.000054386904
    18000        208.646003594003            2.660151027615            0.009953813163            0.000052853666
    19000        208.256551804313            2.585499636058            0.009961703248            0.000051462345
    20000        208.595001623959            2.520425486382            0.009961466023            0.000050104176
    21000        208.658926271809            2.462208421395            0.009966581710            0.000048845629
    22000        207.917384641940            2.399372210736            0.009977581980            0.000047685303
    23000        207.809044345344            2.345899478390            0.009991920430            0.000046614740
    24000        207.968967144531            2.300297443676            0.009982334451            0.000045625699
    25000        208.288735146824            2.257040909631            0.009990739957            0.000044689032
    26000        207.652485328108            2.209133758346            0.009972202174            0.000043830195
    27000        207.650388136109            2.167589490476            0.009968872894            0.000043006859
    28000        207.677010798101            2.129991182788            0.009969649960            0.000042236925
    29000        207.589396369428            2.092974491550            0.009975242966            0.000041503788
    30000        207.835495660139            2.060416003248            0.009972327432            0.000040808516
    31000        207.381208577781            2.025385702539            0.009975000699            0.000040135604
    32000        207.509776448407            1.994166292286            0.009969670859            0.000039469878
    33000        207.731638613804            1.963931323551            0.009968389783            0.000038867285
    34000        207.922439036533            1.937312361918            0.009964539391            0.000038280951
    35000        208.013916515395            1.910454965769            0.009968026556            0.000037716576
    36000        208.550406950483            1.888304456006            0.009963998709            0.000037172747
    37000        208.835359833622            1.863681666853            0.009957875964            0.000036686817
    38000        208.639847844790            1.837565642658            0.009966077369            0.000036193688
    39000        208.200652755056            1.810670278465            0.009968603525            0.000035751119
    40000        208.289280284657            1.787885551427            0.009973003549            0.000035312166
    41000        208.019942193232            1.765475548213            0.009968976863            0.000034891966
    42000        207.952813135586            1.744153165307            0.009980937377            0.000034492222
    43000        208.259925766823            1.725311446790            0.009974959939            0.000034088028
    44000        208.216654525564            1.705934574350            0.009979912304            0.000033695088
    45000        207.919819489704            1.686365575982            0.009990176341            0.000033326624
    46000        207.438761423305            1.666635679192            0.009996993312            0.000032956612
    47000        207.381220887528            1.648408181951            0.010005360619            0.000032596559
    48000        207.714704717089            1.632857104526            0.010010795618            0.000032251142
    49000        207.843164700114            1.616638284794            0.010014436735            0.000031912306
    50000        207.948442362611            1.600881586544            0.010009879437            0.000031590669
    51000        208.284946234205            1.587393098580            0.010017143928            0.000031272746
    52000        207.949023426879            1.571143640062            0.010012943667            0.000030977390
    53000        208.207642463139            1.557087380897            0.010012167439            0.000030684916
    54000        208.472522492525            1.544407725187            0.010010342114            0.000030401854
    55000        208.383098766451            1.529170680978            0.010005805933            0.000030114393
    56000        208.519318945162            1.516409744961            0.010001233169            0.000029841625
    57000        208.555088006659            1.503480495573            0.009995029585            0.000029580097
    58000        208.400386735992            1.489349556158            0.009996003358            0.000029322566
    59000        208.174653966422            1.475662139824            0.009992358365            0.000029073378
    60000        208.078496244419            1.462796551759            0.009996153444            0.000028837161
    61000        207.816314622548            1.449500031323            0.009996413453            0.000028599434
    62000        207.897217037842            1.437324130760            0.009998612738            0.000028370904
    63000        207.651853275728            1.424951251644            0.009998640304            0.000028146441
    64000        207.959366234664            1.414937068779            0.009995408392            0.000027932244
    65000        208.269360880243            1.405730152363            0.009994576412            0.000027725368
    66000        208.246472459684            1.394665908457            0.009995612181            0.000027517410
    67000        208.231175125373            1.383552973611            0.009996068668            0.000027311873
    68000        208.251973916604            1.373949949127            0.009997520288            0.000027107779
    69000        208.349324032880            1.364479748183            0.009996713083            0.000026908106
    70000        208.506323727131            1.355433533770            0.009995823767            0.000026714119
    71000        208.469943898254            1.346222405335            0.009996883743            0.000026532104
    72000        208.468761703566            1.336839665945            0.009997597672            0.000026350450
    73000        208.826421594874            1.329271443195            0.009997663439            0.000026172854
    74000        208.854832983990            1.320409437331            0.009995560839            0.000025994750
    75000        208.763378416403            1.311511683393            0.009999836544            0.000025816379
    76000        208.386488476734            1.301375563207            0.010002928478            0.000025647542
    77000        208.896087521000            1.295094132909            0.010000505818            0.000025481901
    78000        208.992242650645            1.286969050865            0.010001660834            0.000025324161
    79000        208.790224715425            1.277819883993            0.010002571108            0.000025163283
    80000        208.801489140875            1.269630644838            0.010005369397            0.000025006786
    81000        208.825696606436            1.261937396633            0.010003347463            0.000024855255
    82000        209.176295337552            1.255477382331            0.010003914168            0.000024702400
    83000        209.205955474266            1.247782863492            0.010002157734            0.000024554882
    84000        209.235386264861            1.240506512406            0.010001412470            0.000024402726
    85000        209.185632126746            1.233037779498            0.009999344630            0.000024262163
    86000        209.115615425662            1.225723824516            0.010000656682            0.000024122930
